Source,Leaning
Hufflepuff Post,Hufflepuff
Ravenclaw Times,Ravenclaw
The Diagon Alley News,Neutral
Stories of Wizardry,ModeratelyHufflepuff
Godric's Hallow Network,ModeratelyRavenclaw
The Proffets,ModeratelyRavenclaw
Magician's notebook,ModeratelyHufflepuff
Magic Daily,Ravenclaw
Hogwarts News,Hufflepuff
Times of Hogwarts,Neutral
Hogwarts Times,Neutral
Eagles Eye,Ravenclaw
Badger News,Hufflepuff
Hogwarts Network,ModeratelyHufflepuff
Scriptures of Present,ModeratelyRavenclaw
Hogwarts Diaries,Neutral
Hogwarts Now,Hufflepuff
The Wizards Network,Ravenclaw
Wizards Today,Hufflepuff
Magincians Tribune,Ravenclaw
Eagles Pamflet,Ravenclaw
The Magic News,Hufflepuff
Wizardry Magazine,Neutral
Hogwarts Post,Neutral